ACCE_ABSORB_COST	تكاليف الدمج: %d
GEM_SYSTEM_BUY_ITEM	هل تود شراء هذا الشيء؟
GEM_SYSTEM_NAME	غايا
GEM_SYSTEM_NOT_ENOUGHT_REFRESHITEM	[غايا] ليس لديك ما يكفي من "إعادة تعيين متجر الغايا".
GEM_SYSTEM_NOT_ENOUGH_HP_GEM	[غايا] ليس لديك ما يكفي من الغايا.
GEM_SYSTEM_NO_MORE_ADDSLOT	[غايا] لا يمكنك فتح المزيد من الخانات.
GEM_SYSTEM_OPEN_GEMSHOP	[غايا] عليك فتح متجر الغايا أولا.
GEM_SYSTEM_PICK_GEM	لقد حصلت على %s غايا.
GEM_SYSTEM_REFRESH_SHOP_ITEMS	هل ترغب في إعادة التعيين؟
GEM_USE_GEM	تم إنفاق %s غايا.
GIVEUP_QUESTION	هل تريد الاستسلام حقاً؟
GOLDEN_LAND_CHAT_MESSAGE_CANNOT_USE_FRUIT_BOX_EVENT_CLOSED	لم يعد بإمكانك استخدام هذا البند لأن الاحتفالية انتهت.
GOLDEN_LAND_CHAT_MESSAGE_CANNOT_USE_MINE_TOWER_SKILL_PROCESSING	لا يمكن استخدام هذا إذا تم بالفعل تنشيط البرج المتفجر.
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_CLEAR	لقد وجدت كل حقول التوت الذهبي! سوف تتلقى مكافأتك في البريد.
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_GOLDEN_FRUIT_FOUND	لقد وجدت حقل التوت الذهبي!
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_GOLDEN_FRUIT_NOT_FOUND	ربما لم يكن ذلك حقل التوت الذهبي.
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_NOT_ENOUGH_YELLOW_FRUIT	ليس لديك ما يكفي من التوت الذهبي.
GOLDEN_LAND_CHAT_MESSAGE_MINE_TOWER_GUARD_CREATED	تم تنشيط الحماية ضد الانفجار. أنت محمي من البرج المتفجر التالي.
GOLDEN_LAND_CHAT_MESSAGE_MINE_TOWER_SKILL_GUARDED	الحماية من الانفجار تحميك وتم استهلاكها. يمكن للأبراج المتفجرة الآن إلحاق الضرر بك مرة أخرى.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_BATTLE_STAGE_START	سيتم نقلك إلى المستوى التالي.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_DUNGEON_REMAIN_TIME_MIN	يمكنك البقاء في الأرض الذهبية مدة %d دقيقة.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_EVENT_END	انتهت بعثة بريمورديا.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_EVENT_START	بدأت بعثة بريمورديا. اهزم حارس بريمورديا وسافر إلى الأرض الذهبية!
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_OASIS_SHOP	يمكنك شراء بنود من تاجر القافلة.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_OASIS_STAGE_START	سوف يتم نقلك إلى الواحة.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_STONE_SPAWN_AFTER_10SEC	ستظهر تماثيل بريمورديا خلال 10 ثوانٍ.
GOLDEN_LAND_CHAT_MESSAGE_NOT_ENOUGH_LEVEL	لا يمكنك استخدام هذا البند لأن مستواك منخفض جدًا.
GOLDEN_LAND_CHAT_MESSAGE_RESET_ALREADY_RESET	قمت بالفعل بإعادة تعيين ذلك.
GOLDEN_LAND_CHAT_MESSAGE_RESET_NOT_ENOUGH_ITEM	إنك لا تملك بداية بريمورديا جديدة.
GOLDEN_LAND_CHAT_MESSAGE_RESET_SUCCESS	تم إعادة تعيين دخولاتك ولوحة اللعبة بنجاح.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_NOT_ENOUGH_INVENTORY_SPACE	لا يوجد مكان كافي في قائمة الجرد.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_NOT_ENOUGH_TREE_FRUIT	ليس لديك ما يكفي من التوت.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_YELLOW_FRUIT_EXCEED	لا يمكنك شراء المزيد من التوت الذهبي لأنك تجاوزت بالفعل الحد الأقصى للعدد.
GOLDEN_LAND_CHAT_MESSAGE_TREE_FRUIT_GAINED	ستحصل على %d توت بري.
GOLDEN_LAND_CHAT_MESSAGE_TREE_FRUIT_GAINED_WITH_POSSESS_INFO	ستحصل على %d توت بري. (لديك %d توت بري.)
GOLDEN_LAND_CHAT_MESSAGE_YELLOW_FRUIT_GAINED	حصلت على %d توت ذهبي.
GOLDEN_LAND_FIND_CARD_QUESTION_OPEN_CARD	هل ترغب في الكشف عن حقل مقابل %d توت ذهبي؟
GOLDEN_LAND_FIND_CARD_QUESTION_RESET	سيؤدي استخدام هذا إلى إعادة تعيين كل دخولاتك إلى الأرض الذهبية ولوحة اللعبة في مهمة التوت الذهبي. هل ترغب في المتابعة؟
GOLDEN_LAND_REMAIN_MINE_TOWER_KILL_COUNT	الأبراج المتفجرة المتبقية: %d
GOLDEN_LAND_REMAIN_STONE_KILL_COUNT	تماثيل بريمورديا المتبقية: %d
GUILDBANK_CLEARBANK	تحذير: يجب إفراغ مستودع الرابطة!
GUILDBANK_DONT_MONEY_OUT	ليس هناك يانغ في بنك الرابطة!
GUILDBANK_GOLD_IN	إيداع
GUILDBANK_GOLD_OUT	سحب
GUILDBANK_ITEM_IN	إدخال
GUILDBANK_ITEM_OUT	إخراج
GUILDBANK_MONEYIN	إيداع يانغ
GUILDBANK_MONEYOUT	سحب يانغ
GUILDBANK_NOTUSE	لا تملك الحقوق اللازمة.
GUILDBANK_NOT_ENOUGH_MONEY	لا تملك ما يكفي من اليانغ لإيداعه.
GUILDBANK_OVER_INCOME	وصلت الحد الأقصى لحسابك.
GUILDBANK_OVER_MONEY	حساب الرابطة ممتلئ عن آخره.
GUILDLAND_ABANDON	تفويت أرض الرابطة
GUILDLAND_ABANDON_TEXT1	هل تريد التخلي عن أرض الرابطة؟
GUILDLAND_ABANDON_TEXT2	هل أنت متأكد أنك تريد التخلي عن أرض الرابطة؟
GUILDLAND_ABANDON_TEXT3	لقد تم إزالة مستودع الرابطة وجميع المباني.
GUILDLAND_ACCEPT	نعم
GUILDLAND_DONTHAVE_LAND	إنك لا تملك أي أرض رابطة.
GUILDLAND_NOT	كلّا
GUILDLIST_APPLICANT	هل ترغب في تقديم طلب الانضمام للرابطة؟
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	العلو ليس 12 بكسل
GUILDMARK_UPLOADER_ERROR_16_WIDTH	العرض  ليس 16 بكسل
GUILDMARK_UPLOADER_ERROR_64_WIDTH	إن العرض أقل من 64 بيكسل
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	نسبة العلو ليست 128 بكسل
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	إن هذه اللعبة لا تدعم هذه الصورة.
GUILDMARK_UPLOADER_ERROR_PATH	الرجاء نقل المعطيات إلى الملف في metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	لم يتم اختيار أي ملف للصورة.
GUILDWAR_ALL	معارك (معك.)
GUILDWAR_CTF_TITLE	قتال الأعلام
GUILDWAR_DRAW	تعادلات (تع.)
GUILDWAR_GAINSCORE_FIFTY	50 نقطة
GUILDWAR_GAINSCORE_HUNDRED	100 نقطة
GUILDWAR_GAINSCORE_THIRTY	30 نقطة
GUILDWAR_GAMETIME_SIXTY	60 دقيقة
GUILDWAR_GAMETIME_TEN	10 دقائق
GUILDWAR_GAMETIME_THIRTY	30 دقيقة
GUILDWAR_INPUT_OTHERGUILD	الرجاء إدخال الرابطة الخصم.
GUILDWAR_LADDER	نقاط الترتيب
GUILDWAR_LIMIT_MEMBER_FIVE	أدنى عدد من المشاركين مسموح به هو 5.
GUILDWAR_LOSE	هزائم (هز.)
GUILDWAR_NORMAL_TITLE	ميدان القتال
GUILDWAR_OVER_MEMBERCOUNT	وصلت الحد الأقصى المسموح به من الأعضاء.
GUILDWAR_QUESTION_LINE_1	أعلنت الرابطة %s الحرب على رابطتك.
GUILDWAR_QUESTION_LINE_2	هل تقبل؟ (%s)
GUILDWAR_RANKING	رتبة
GUILDWAR_RECODE_ALL	%d معك.، %d انت.، %d هز.، %d تع.
GUILDWAR_SELECT_MEMBER_COUNT	اختر عدد المشاركين.
GUILDWAR_TYPE_DEFENSE	قتال الدروع
GUILDWAR_TYPE_TIGER	معركة الإبادة
GUILDWAR_TYPE_TIME	هجوم زمني
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	ساحة الحرب
GUILDWAR_WIN	انتصارات (انت.)
GUILDWAR_WIN_FIVE	خمس جولات
GUILDWAR_WIN_ONE	جولة
GUILDWAR_WIN_THREE	ثلاث جولات
GUILDWINDOW_BUTTON_BANKGOLDINFO	سجل مستودع الرابطة
GUILDWINDOW_BUTTON_BASEABANDON	تفويت أرض الرابطة
GUILDWINDOW_BUTTON_BASEDEAL	بيع أرض الرابطة
GUILDWINDOW_BUTTON_BOARD	مذكرات خاصة بالرابطة
GUILDWINDOW_BUTTON_CHANGEMASTER	تغيير قائد الرابطة
GUILDWINDOW_BUTTON_DECLARE	إعلان الحرب
GUILDWINDOW_BUTTON_DONATE	التبرع
GUILDWINDOW_BUTTON_GOLDIN	إيداع
GUILDWINDOW_BUTTON_GOLDOUT	سحب
GUILDWINDOW_BUTTON_GRADE	إدارة الحقوق
GUILDWINDOW_BUTTON_GUILDLIST	لائحة الرابطة
GUILDWINDOW_BUTTON_GUILD_BATTLE	معركة الرابطة
GUILDWINDOW_BUTTON_GUILD_CONTENTS_LIST	العودة إلى نافذة معركة الرابطة
GUILDWINDOW_BUTTON_HEALGSP	استرجاع قوة التنين
GUILDWINDOW_BUTTON_INFO	معلومات عن الرابطة
GUILDWINDOW_BUTTON_LANDINFO	معلومات عن الأرض
GUILDWINDOW_BUTTON_MARK	تحميل علامة الرابطة
GUILDWINDOW_BUTTON_MEMBER	الأعضاء
GUILDWINDOW_BUTTON_OFFER	تبرع بالخبرة EXP
GUILDWINDOW_BUTTON_OUTMEMBER	حذف عضو
GUILDWINDOW_BUTTON_SKILL	مهارات الروابط
GUILDWINDOW_BUTTON_SYMBOL	تحميل علامة الرابطة
GUILDWINDOW_BUY_GUILD_LAND	شراء أرض
GUILDWINDOW_CHANGE_BLACKSMITH	تغيير التخصص
GUILDWINDOW_CHANGE_OBJECT	تجديد
GUILDWINDOW_CHANGE_SMELTER	إعادة بناء الفرن
GUILDWINDOW_CREATE_OBJECT	بناء مبنى
GUILDWINDOW_DEAL_GUILD_LAND	بيع الأرض
GUILDWINDOW_GRADE_BANK	يمكنه استخدام بنك الرابطة ومستودع الرابطة
GUILDWINDOW_GRADE_DRIVEOUTAUTHORITY	يمكنه حذف عضو من أعضاء الرابطة؟
GUILDWINDOW_GRADE_GRADENAME	اسم الرتبة
GUILDWINDOW_GRADE_GRADENUMBER	رقم الرتبة
GUILDWINDOW_GRADE_GUILDWAR	يمكنه اختيار الأعضاء المسموح لهم المشاركة في القتال.
GUILDWINDOW_GRADE_INVITEAUTHORITY	يمكنه ضم لاعبين آخرين إلى الرابطة
GUILDWINDOW_GRADE_NOTICEAUTHORITY	يمكنه إلصاق المذكرات الخاصة بالرابطة
GUILDWINDOW_GRADE_SKILLAUTHORITY	يمكنه استعمال مهارات الروابط
GUILDWINDOW_INFO_LEVEL5	+5% EXP على تبرع الرابطة
GUILDWINDOW_INFO_LEVEL10	يرفع العدد الأقصى للأعضاء
GUILDWINDOW_INFO_LEVEL15	تخفيض على السعر: قوة التنين
GUILDWINDOW_INFO_LEVEL20	بنك: إعفاء ضرائبي
GUILDWINDOW_LAND_TAX	الإيجار
GUILDWINDOW_LIST_ALL	جميع الإمبراطوريات
GUILDWINDOW_LIST_ALREADY_REGISTER	[رابطة] لقد قدّمت طلب الانضمام من قبل.
GUILDWINDOW_LIST_APPLICANT_LIST	قائمة المرشحين
GUILDWINDOW_LIST_CHRACTER_JOB	طبقة
GUILDWINDOW_LIST_CHRACTER_LV	مستوى
GUILDWINDOW_LIST_CHRACTER_NAME	اسم الشخصية
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	تدريب
GUILDWINDOW_LIST_EMPIRE_A	شينسو
GUILDWINDOW_LIST_EMPIRE_B	شونجو
GUILDWINDOW_LIST_EMPIRE_C	جينو
GUILDWINDOW_LIST_GUILDMEMBER	الأعضاء
GUILDWINDOW_LIST_GUILD_LIST	لائحة الرابطة
GUILDWINDOW_LIST_GUILD_LV	مستوى
GUILDWINDOW_LIST_GUILD_NAME	رابطة
GUILDWINDOW_LIST_INPUT_GUILDNAME	[رابطة] الرجاء إدخال اسم الرابطة.
GUILDWINDOW_LIST_LADDER	نقاط الترتيب
GUILDWINDOW_LIST_NOTPROMOTEGUILD	[رابطة] لم تنشر هذه الرابطة أية إعلان.
GUILDWINDOW_LIST_PROMOTE_GUILD	طلب انضمام
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	لائحة الرابطة
GUILDWINDOW_LIST_RANKING	الرتبة
GUILDWINDOW_LIST_RANKING_COUNT	الرتبة
GUILDWINDOW_LIST_REGISTER	انضم
GUILDWINDOW_LIST_REGISTER_GUILD	طلب انضمام للرابطة
GUILDWINDOW_LIST_SEARCH	بحث
GUILDWINDOW_LIST_SELECT_GUILD	[رابطة] الرجاء اختيار رابطة لتقديم طلب الانضمام.
GUILDWINDOW_PROMOTE_REFRESH	إشهار
GUILDWINDOW_PROMOTE_REGISTER	إشهار
GUILDWINDOW_SP_RECOVER	قوة التّنين الاسطوري
GUILDWINDOW_UPGRADE_ALTEROFPOWER	توسيع المذبح
GUILDWINDOW_UPGRADE_GUILDBANK	توسيع البنك
GUILD_ATTENDANCE_FAIL_ALREADY	لقد شاركت بالفعل اليوم.
GUILD_ATTENDANCE_FAIL_JOIN_TIME	لا يمكنك المشاركة الآن. تتم إعادة تعيين المشاركة دائمًا في الساعة 5:00.
GUILD_BANKINFO_CLOSE	أغلق
GUILD_BANKINFO_NAME	عضو
GUILD_BANKINFO_TYPE	أشياء/عملة
GUILD_BANKINFO_USETYPE	عملية
GUILD_BANK_CLOSE	أغلق
GUILD_BANK_INFO	سجل مستودع الرابطة
GUILD_BATTLE_APPLY_SUCCESS_MESSAGE	لقد تم بنجاح تسجيلك في معركة الرابطة.
GUILD_BATTLE_AREA_INFO_TEXT	الوقت المُتبقّي: %s\nالوحوش المتبقية (%d/61)\nالأزرق: (%s) الأصفر: (%s) الأخضر: (%s) الأحمر: (%s)
GUILD_BATTLE_AREA_INFO_TEXT_FONT	Tahoma:16
GUILD_BATTLE_AREA_UNDER_ATTCK_MESSAGE	سيتم مهاجمة الوحوش في %s.
GUILD_BATTLE_CANNOT_APPLY_TIME_MESSAGE	لا يمكنك المشاركة في معركة الرابطة هذه المرة لأن جميع الأماكن مأخوذة بالفعل. حاول مرة أخرى في المرة القادمة!
GUILD_BATTLE_CANNOT_ENTER_JOIN_TIME	لا يمكنك المشاركة بعد. الوقت المتبقّي: %d دقائق.
GUILD_BATTLE_CANNOT_ENTER_MAP_MESSAGE	يمكنك الدخول فقط من القرية الأولى أو من سهول دونج جوانج.
GUILD_BATTLE_CANNOT_ENTER_NOT_MATCHING_MESSAGE	لا يمكن العثور على منافس مناسب لرابطتك. يرجى إعادة المحاولة مرة أخرى في المرة القادمة.
GUILD_BATTLE_CANNOT_GET_REWARD_NOT_ENOUGH_INEVENTORY	لا يوجد مكان كافي في قائمة الجرد.
GUILD_BATTLE_CANNOT_GUILD_ACTION_MESSAGE	
GUILD_BATTLE_CANNOT_PARTICIPATION_MESSAGE	أنت لا تستوفي جميع متطلبات المشاركة في معركة الرابطة.
GUILD_BATTLE_CANNOT_USE_MOVE_TICKET_NOT_OCCUPY_MESSAGE	لا يمكنك دخول هذه المنطقة لأنها قد تم احتلالها من قبل رابطة أخرى.
GUILD_BATTLE_CANNOT_USE_PORTAL_NOT_OCCUPY	يمكنك فقط استخدام هذا بمجرد احتلال المنطقة من قبل رابطتك.
GUILD_BATTLE_CANNOT_USE_TICKET_NOT_MASTER	لا يُسمح باستخدام هذا الشيء، سوى لقائد الرابطة.
GUILD_BATTLE_CANNOT_USE_TICKET_NOT_OPEN	لا يمكنك استخدام تذكرة معركة الرابطة.
GUILD_BATTLE_CAN_NOT_USE_TICKET_MESSAGE	تم تطبيق هذا بالفعل ولا يمكن استخدامه مرة أخرى.
GUILD_BATTLE_CMD_FAIL_IMMEDIATELY_START	عليك الانتظار حتى انضمام 2 من الروابط الأخرى على الأقل.
GUILD_BATTLE_DEAD_TO_PLAYER	لقد هزمك أحد أعضاء الرابطة %s.
GUILD_BATTLE_DROP_ITEM_BY_REWARD_BOX_MESSAGE	لقد حصلت على %s %s.
GUILD_BATTLE_ENCOURAGE_MESSAGE	ستبدأ معركة الرابطة بعد %d دقيقة/دقائق. أنت مسجل للمشاركة. استعد وابذل قصارى جهدك!
GUILD_BATTLE_END_MESSAGE	انتهت معركة الرابطة.
GUILD_BATTLE_END_REMAIN_TIME_MESSAGE	ستنتهي معركة الرابطة بعد %d دقيقة/دقائق.
GUILD_BATTLE_ENTER_AREA_MESSAGE	لقد دخلت إلى %s. اهزم جميع الوحوش!
GUILD_BATTLE_ENTER_BUTTON_TOOLTIP	الدخول
GUILD_BATTLE_ENTER_MESSAGE	سيتم تسجيلك في معركة الرابطة قريبًا.
GUILD_BATTLE_ENTER_OCCUPY_AREA_MESSAGE	لقد دخلت إلى %s.
GUILD_BATTLE_ENTER_OUTPOST_BLUE	أنت جزء من الفريق الأزرق. استخدم البوابة للذهاب إلى منطقة معركة الرابطة.
GUILD_BATTLE_ENTER_OUTPOST_GREEN	أنت جزء من الفريق الأخضر. استخدم البوابة للذهاب إلى منطقة معركة الرابطة.
GUILD_BATTLE_ENTER_OUTPOST_RED	أنت جزء من الفريق الأحمر. استخدم البوابة للذهاب إلى منطقة معركة الرابطة.
GUILD_BATTLE_ENTER_OUTPOST_YELLOW	أنت جزء من الفريق الأصفر. استخدم البوابة للذهاب إلى منطقة معركة الرابطة.
GUILD_BATTLE_GET_GUILD_REWARD_MESSAGE	لقد تلقيت مكافأة الرابطة. يمكنك العثور عليها في قائمة الجرد.
GUILD_BATTLE_GET_PERSONAL_REWARD_BUFF_MESSAGE	لقد تلقيت علاوة كمكافأة. انظر إلى أيقونة العلاوات لمعرفة المزيد.
GUILD_BATTLE_GUILD_REWARD_BUTTON_TOOLTIP	احصل على مكافأة الرابطة
GUILD_BATTLE_LIST_REMAIN_TIME	الوقت المتبقي: %s
GUILD_BATTLE_MONSTER_KILL_GUILD_MESSAGE	%s هزم %d من الوحوش
GUILD_BATTLE_NEED_REWARD_OPEN_KEY_MESSAGE	ليس لديك مفتاح المنتصر لفتح هذا الصندوق. اهزم الوحوش للعثور على المفتاح.
GUILD_BATTLE_NOT_ENOUGH_INEVENTORY_MESSAGE	أفسح المجال في قائمة الجرد الخاصة بك وحاول مرة أخرى.
GUILD_BATTLE_NOT_ENOUGH_MOVE_TICKET_MESSAGE	ليس لديك تذكرة بوابة الرابطة.
GUILD_BATTLE_NOT_ENOUGH_TIME_OF_CREATE_TO_APPLY	لا يمكنك المشاركة بعد لأن رابطتك تم تشكيلها في آخر 24 ساعة.
GUILD_BATTLE_OCCUPY_AREA_MESSAGE	تم احتلال المنطقة. سيتم فتح بوابة قريبًا وستظهر الوحوش للدفاع عن هذه المنطقة.
GUILD_BATTLE_OCCUPY_AREA_MESSAGE_IN_OUTPOST	تم احتلال %s. سيتم فتح بوابة قريبًا وستظهر الوحوش للدفاع عن هذه المنطقة.
GUILD_BATTLE_OCCUPY_AREA_OTHERS_GUILD_MESSAGE	تم احتلال هذه المنطقة بالفعل من قبل رابطة أخرى. سيتم نقلك فورًا إلى موقع الروابط الأمامي.
GUILD_BATTLE_ONGOING	المعركة جارية
GUILD_BATTLE_OPEN_REWARD_BOX	هل ترغب في فتح %s؟
GUILD_BATTLE_OTHER_GUILD_ONGOING	الروابط الأخرى تقاتل بالفعل.
GUILD_BATTLE_OUTPOST_REMAIN_TIME	الوقت المتبقي: %s
GUILD_BATTLE_OUTPOST_REMAIN_TIME_FONT	Tahoma:16
GUILD_BATTLE_PAGE_ENTER_REQUIRMENTS	تأهلت؟
GUILD_BATTLE_PAGE_START_REMAIN_TIME	تبدأ المعركة في: %s
GUILD_BATTLE_PERSONAL_BUFF	علاوة مكافأة
GUILD_BATTLE_PERSONAL_REWARD_BUTTON_TOOLTIP	احصل على علاوة مكافأة
GUILD_BATTLE_PK_GUILD_MESSAGE	%s هزم %d لاعبين من روابط أخرى.
GUILD_BATTLE_PLAYER_KILL	لقد هزمت عضو في رابطة %s.
GUILD_BATTLE_QUALIFICATION	اهزم ملك التنانين للمشاركة\nأو استخدم تذكرة معركة الرابطة.
GUILD_BATTLE_RELOAD_BUTTON_COOLTIME_MESSAGE	الرجاء المحاولة مجددًا.
GUILD_BATTLE_RESULT_BOARD_REMAIN_TIME_MESSAGE	سيتم نقلك فوريًا إلى %s.
GUILD_BATTLE_REVIVE_USE_SCROLL_MESSAGE	لقد تم إحيائك بإعادة احياء الروابط
GUILD_BATTLE_START_MESSAGE	بدأت معركة الرابطة! واجه التحدي بالضغط على "دخول" في قائمة معركة الرابطة!
GUILD_BATTLE_STATUS_BOARD_PK	اللاعبين القتلى: %d
GUILD_BATTLE_STATUS_BOARD_REMAIN_MONSTER_COUNT	%s: %d / %d
GUILD_BATTLE_TEAM_NAME_BLUE	أزرق
GUILD_BATTLE_TEAM_NAME_GREEN	أخضر
GUILD_BATTLE_TEAM_NAME_RED	أحمر
GUILD_BATTLE_TEAM_NAME_YELLOW	أصفر
GUILD_BATTLE_USE_MOVE_TICKET_MESSAGE	لقد استخدمت تذكرة نقل الرابطة وسيتم نقلك فورا إلى %s.
GUILD_BATTLE_USE_SCROLL	هل تريد المشاركة في معركة الرابطة؟
GUILD_BATTLE_USE_TICKET_CANCEL_MESSAGE	تم إلغاء تسجيلك في معركة الرابطة.
GUILD_BOARD_ID	عضو
GUILD_BOARD_TEXT	رسالة
GUILD_BUILDING_FIX_CHANGE	هل تريد حقا تغيير الموقع؟
GUILD_BUILDING_FIX_CHANGE_GOLD	السعر: 1.000.000 يانغ!
GUILD_BUILDING_FIX_DELETE	هل تريد حقا حذف هذا الشيء؟
GUILD_BUILDING_FIX_NEED_BUILDING	لا وجود لمباني.
GUILD_BUILDING_GRADE	رتبة
GUILD_BUILDING_LOG_PLUS	جذع+
GUILD_BUILDING_NAME	اسم المبنى
GUILD_BUILDING_PLY_PLUS	خشب رقائقي+
GUILD_BUILDING_SMELT_STONE	حجر الغموض
GUILD_BUILDING_STONE_PLUS	حجر الأساس+
GUILD_CANNOT_HEAL_GSP_ANYMORE	امتلأت طاقة شبح التنين إلى آخرها.
GUILD_CHANGEMASTER_TEXT1	أصبح القائد الجديد: %s
GUILD_CHANGEMASTER_TEXT2	هل تريد تعيين قائد جديد للرابطة؟
GUILD_CHANGEMASTER_TEXT3	هل أنت متأكد انك تريد تسليم
GUILD_CHANGEMASTER_TEXT4	منصب قائد الرابطة؟
GUILD_COMMENT	اكتب
GUILD_CONTENTS_ONGOING	المعركة جارية
GUILD_CREATE_ERROR_INSULT_NAME	اسم الرابطة غير مسموح به.
GUILD_DEFAULT_GRADE	أعضاء الرابطة
GUILD_DELETE	احذف
GUILD_DEPOSIT	ودائع
GUILD_DISBAND_OR_LEAVE_OR_OUT_FAIL_MESSAGE	لا يمكنك ترك الرابطة الآن كونك في المعركة.
GUILD_DISBAND_SUCCESS_MESSAGE	تم حل الرابطة.
GUILD_DONATE_FAIL_NOT_ENOUGH_HIGH_ITEM	ليس لديك تبرعات كافية.
GUILD_DONATE_FAIL_NOT_ENOUGH_INVENTORY	قائمة الجرد الخاصة بك ممتلئة. لا يمكنك التبرع.
GUILD_DONATE_FAIL_NOT_ENOUGH_LEVEL	يجب أن تكون قد بلغت المستوى 30 على الأقل للتبرع.
GUILD_DONATE_FAIL_NOT_ENOUGH_MIDDLE_ITEM	ليس لديك ما يكفي من مذكرات التبرع المتوسطة!
GUILD_DONATE_FAIL_NOT_ENOUGH_YANG	ليس لديك يانغ كافٍ.
GUILD_DONATE_FAIL_TIME	لا يمكنك التبرع خلال 24 ساعة من دخولك للرابطة.
GUILD_DONATE_QUESTION_HIGH	هل ترغب في تقديم تبرع كبير؟
GUILD_DONATE_QUESTION_MIDDLE	هل ترغب في تقديم تبرع متوسط؟
GUILD_DONATE_QUESTION_NORMAL	هل ترغب في تقديم تبرع صغير؟
GUILD_DO_YOU_HEAL_GSP	هل ترغب مقابل %d من اليانغ في استرجاع %d من شبح التنين؟
GUILD_DO_YOU_JOIN	 قامت بدعوتك. هل ترغب في الانضمام إلى الرابطة؟
GUILD_DRAGONLAIR_MIN	دقيقة
GUILD_DRAGONLAIR_PARTY_ALL	لائحة المتصدرين العامة
GUILD_DRAGONLAIR_PARTY_LINE_FOUR	ابتداء من المرتبة 11: 100 غايا
GUILD_DRAGONLAIR_PARTY_LINE_HELP	مساعدة
GUILD_DRAGONLAIR_PARTY_LINE_ONE	المرتبة 1: 400 غايا
GUILD_DRAGONLAIR_PARTY_LINE_THREE	المرتبة 4 إلى 10: 200 غايا
GUILD_DRAGONLAIR_PARTY_LINE_TWO	المرتبة 2 إلى 3: 300 غايا
GUILD_DRAGONLAIR_PARTY_MEMBER	الأعضاء
GUILD_DRAGONLAIR_PARTY_NOW	لائحة المتصدرين الأسبوعية
GUILD_DRAGONLAIR_PARTY_PAST	لائحة المتصدرين السابقة
GUILD_DRAGONLAIR_PARTY_TIME	الوقت
GUILD_DRAGONLAIR_PARTY_TOOLTIP_TITLE	مكافأة
GUILD_DRAGONLAIR_RANKING_FAIL	فشلتم!
GUILD_DRAGONLAIR_RANKING_NONE	جديد
GUILD_DRAGONLAIR_RANKING_SUCCESS	نجحتم!
GUILD_DRAGONLAIR_SECOND	ثانية
GUILD_EMPTY_AREA	أرض خالية
GUILD_ENEMY_GUILD_NAME	اسم الرابطة الخصم
GUILD_FACILITY	مبنى جانبي
GUILD_GEM	حجر كريم
GUILD_HEADQUARTER	المبنى الرئيسي
GUILD_HEAL_GSP	إعادة شبح التنين
GUILD_INFO_ENEMY_GUILD_EMPTY	لا يوجد
GUILD_MARK_NOT_ENOUGH_LEVEL	أدنى مستوى مطلوب 3
GUILD_MARK_UPLOAD_NOTICE	أرجوك انتظر لحظة حتى تتمكن من تسجيل شعار الرابطة.
GUILD_MEMBEROUT_AUTH	لا يمكنك إزالة الأعضاء.
GUILD_MEMBEROUT_NOMAL	هل تريد إزالة هذا العضو؟
GUILD_MEMBER_JOB	طبقة
GUILD_MEMBER_KNIGHT	مقاتل
GUILD_MEMBER_LEVEL	مستوى
GUILD_MEMBER_NAME	عضو
GUILD_MEMBER_RANK	رتبة
GUILD_MEMBER_SPECIFIC_GRAVITY	نقاط الخبرة EXP المُتبرّع بها
GUILD_NAME	اسم الرابطة
GUILD_NOT_ENOUGH_MATERIAL	لا تملك مواد بناء كافية لهذا المبنى.
GUILD_NOT_ENOUGH_MONEY	لا تملك يانغ كافٍ لبناء هذا المبنى.
GUILD_NO_NOTICE_PERMISSION	إنك غير مُؤهل لتقديم إعلانٍ ما.
GUILD_OBJECT	أشياء
GUILD_OBJECT_POSSIBLE_NEWWORLD	هذا المبنى متاح فقط في قارة يوهارا.
GUILD_OFFER_EXP	استثمار الخبرة
GUILD_SELECT_ONE	إختر عضو الرابطة.
GUILD_SHORT_EXP	عدد نقاط الخبرة غير كافٍ.
GUILD_SITE_AUCTION_END_TIME	مزاد الأراضي: %02d/%02d (الشهر/اليوم) في تمام الساعة %02d:%02d
